epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3059.86,0.82908,0.39689,0.78276,0.89886,0.74801,0.79721,0.56298,0.77541,0.40859,0.78479,0.000742625,0.000742625,0.000742625
43,3128.01,0.819,0.39579,0.78276,0.90616,0.73104,0.8071,0.56205,0.77711,0.39162,0.78482,0.00073025,0.00073025,0.00073025
44,3199.7,0.80362,0.3858,0.78152,0.90718,0.75235,0.80195,0.53388,0.80604,0.41569,0.78887,0.000717875,0.000717875,0.000717875
45,3269.56,0.8441,0.40238,0.78227,0.87893,0.7488,0.79684,0.5547,0.78475,0.38329,0.78627,0.0007055,0.0007055,0.0007055
46,3340.4,0.81902,0.3911,0.78057,0.90059,0.71837,0.81686,0.55804,0.80675,0.4136,0.78747,0.000693125,0.000693125,0.000693125
47,3397.03,0.83963,0.39645,0.78174,0.93654,0.73305,0.7998,0.53456,0.82184,0.41796,0.78769,0.00068075,0.00068075,0.00068075
48,3471.58,0.84055,0.39712,0.7824,0.94768,0.74789,0.8137,0.55948,0.78833,0.39442,0.78564,0.000668375,0.000668375,0.000668375
49,3532.26,0.8231,0.38804,0.78364,0.87809,0.71341,0.78006,0.54925,0.80767,0.40413,0.78581,0.000656,0.000656,0.000656
50,3598.56,0.79073,0.37275,0.78343,0.90556,0.75325,0.8118,0.55372,0.78905,0.3902,0.78569,0.000643625,0.000643625,0.000643625
51,3666.25,0.82252,0.38195,0.78143,0.90707,0.71561,0.77693,0.52926,0.84645,0.42375,0.78732,0.00063125,0.00063125,0.00063125
52,3737.79,0.82583,0.38282,0.78117,0.94938,0.73902,0.82258,0.56877,0.77803,0.38527,0.78415,0.000618875,0.000618875,0.000618875
53,3799.83,0.80304,0.37071,0.77943,0.94694,0.74466,0.83165,0.57558,0.80533,0.38356,0.78641,0.0006065,0.0006065,0.0006065
54,3878.88,0.79355,0.37109,0.78064,0.90161,0.74563,0.81453,0.56522,0.79208,0.38561,0.78471,0.000594125,0.000594125,0.000594125
55,3939.52,0.75377,0.35227,0.7806,0.92031,0.75345,0.80614,0.57021,0.7679,0.36578,0.78349,0.00058175,0.00058175,0.00058175
56,4012.29,0.75626,0.3539,0.77757,0.93556,0.75801,0.83653,0.58708,0.77394,0.37943,0.78475,0.000569375,0.000569375,0.000569375
57,4079.12,0.76006,0.34901,0.77733,0.94788,0.75259,0.81881,0.57402,0.77529,0.37515,0.78424,0.000557,0.000557,0.000557
58,4140.13,0.78022,0.35919,0.78007,0.93342,0.75931,0.8263,0.57002,0.78065,0.37692,0.78397,0.000544625,0.000544625,0.000544625
59,4202.5,0.76629,0.35874,0.77866,0.90868,0.75056,0.81458,0.56892,0.80399,0.39256,0.78564,0.00053225,0.00053225,0.00053225
60,4268.72,0.75493,0.35226,0.77954,0.90285,0.7606,0.81302,0.57376,0.78258,0.38406,0.7841,0.000519875,0.000519875,0.000519875
61,4342.16,0.73157,0.34308,0.77798,0.88366,0.7458,0.81882,0.57245,0.7636,0.36942,0.78398,0.0005075,0.0005075,0.0005075
62,4407.43,0.75157,0.34938,0.77928,0.91553,0.77202,0.83262,0.57174,0.79694,0.38556,0.78502,0.000495125,0.000495125,0.000495125
63,4469.67,0.72704,0.3445,0.77825,0.94115,0.74526,0.82373,0.57545,0.75877,0.36928,0.78338,0.00048275,0.00048275,0.00048275
64,4542.91,0.74545,0.34795,0.77594,0.93409,0.76114,0.82166,0.57489,0.76038,0.37944,0.78387,0.000470375,0.000470375,0.000470375
65,4611.75,0.73489,0.3479,0.77646,0.89999,0.75558,0.80933,0.56389,0.7726,0.37944,0.78433,0.000458,0.000458,0.000458
66,4683.41,0.74391,0.34798,0.77697,0.93241,0.73488,0.81783,0.555,0.80665,0.3891,0.78551,0.000445625,0.000445625,0.000445625
67,4744.35,0.73245,0.34289,0.77602,0.92794,0.77668,0.81831,0.56965,0.78658,0.38279,0.78381,0.00043325,0.00043325,0.00043325
68,4817.45,0.72127,0.34174,0.77827,0.95117,0.75411,0.82532,0.56964,0.77402,0.37684,0.78316,0.000420875,0.000420875,0.000420875
69,4883.11,0.74424,0.34671,0.77673,0.90625,0.7324,0.81954,0.55622,0.78589,0.38828,0.78359,0.0004085,0.0004085,0.0004085
70,4942.18,0.71843,0.33882,0.77576,0.92408,0.75492,0.81771,0.56247,0.79143,0.37901,0.78444,0.000396125,0.000396125,0.000396125
71,5008.27,0.72072,0.33941,0.77679,0.93269,0.76513,0.8354,0.58114,0.75301,0.3669,0.78269,0.00038375,0.00038375,0.00038375
72,5070.26,0.70302,0.33334,0.77769,0.91514,0.75208,0.82656,0.57677,0.76894,0.37693,0.78424,0.000371375,0.000371375,0.000371375
73,5143.23,0.71965,0.3395,0.77665,0.95134,0.7408,0.8205,0.58159,0.76511,0.38108,0.78426,0.000359,0.000359,0.000359
